,originalTitle,brTitle
6437,The Plague of the Zombies (1966),Epidemia de Zumbis (1966)
6438,I Walked with a Zombie (1943),A Morta-Viva (1943)
6439,Highway 61 (1991),Highway 61 (1991)
6440,"Vampire Lovers, The (1970)",Os Vampiros Amantes (1970)
6441,Countess Dracula (1972),Condessa Drácula (1972)
6442,How to Succeed in Business Without Really Trying (1967),Como Vencer na Vida Sem Fazer Força (1967)
6443,Pat Garrett and Billy the Kid (1973),Pat Garrett e Billy the Kid (1973)
6444,The Left Handed Gun (1958),Um de Nós Morrerá (1958)
6445,"Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)",Mortos que Matam (1964)
6446,"Street Fighter, The (Gekitotsu! Satsujin ken) (1974)",Street Fighter (1974)
6447,"Duck, You Sucker (1971)",Quando Explode a Vingança (1971)
6448,Bring Me the Head of Alfredo Garcia (1974),Tragam-me a Cabeça de Alfredo Garcia (1974)
6449,Ride the High Country (1962),Pistoleiros do Entardecer (1962)
6450,"Ballad of Cable Hogue, The (1970)",A Morte Não Manda Recado (1970)
6451,Junior Bonner (1972),Junior Bonner - Dez Segundos de Perigo (1972)
6452,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),O Mestre da Guilhotina Voadora (1975)
6453,Frankenstein Must Be Destroyed (1969),Frankenstein Tem que Ser Destruído (1969)
6454,"Haunted Palace, The (1963)",Castelo Assombrado (1963)
6455,Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt) (1927),Berlim - Sinfonia da Metrópole (1927)
6456,Samurai Fiction (SF: Episode One) (1998),Samurai Ficção (1998)
6457,Gidget (1959),Maldosamente Ingênua (1959)
6458,"Indian Runner, The (1991)",Unidos Pelo Sangue (1991)
6459,Drunken Angel (Yoidore tenshi) (1948),O Anjo Embriagado (1948)
6460,Desperate Living (1977),Viver Desesperado (1977)
6461,Rolling Thunder (1977),A Outra Face da Violência (1977)
6462,Stray Dog (Nora inu) (1949),Cão Danado (1949)
6463,"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)",A Fortaleza Escondida (1958)
6464,High and Low (Tengoku to jigoku) (1963),Céu E Inferno (1963)
6465,"People Under the Stairs, The (1991)",As Criaturas Atrás das Paredes (1991)
6466,Dark Days (2000),Dark Days (2000)
6467,"Night in Casablanca, A (1946)",Uma Noite em Casablanca (1946)
6468,Zelig (1983),Zelig (1983)
6469,Face to Face (Ansikte mot ansikte) (1976),Face a Face (1976)
6470,Shame (Skammen) (1968),Vergonha (1968)
6471,"Silence, The (Tystnaden) (1963)",O Silêncio (1963)
6472,Winter Light (Nattvardsgästerna) (1963),Luz de Inverno (1963)
6473,Through a Glass Darkly (Såsom i en spegel) (1961),Através de um Espelho (1961)
6474,The Magician (1958),O Rosto (1958)
6475,Smiles of a Summer Night (Sommarnattens leende) (1955),Sorrisos de Uma Noite de Verão (1955)
6476,Summer with Monika (Sommaren med Monika) (1953),Mônica e o Desejo (1953)
6477,"Killers, The (1946)",Assassinos (1946)
6478,"Night of the Iguana, The (1964)",A Noite do Iguana (1964)
6479,Reflections in a Golden Eye (1967),O Pecado de Todos Nós (1967)
6480,Under the Volcano (1984),À Sombra do Vulcão (1984)
6481,Wise Blood (1979),Sangue Selvagem (1979)
6482,"Yakuza, The (1975)",Operação Yakuza (1975)
6483,Nightbreed (1990),Raça das Trevas (1990)
6484,"Baron Blood (Orrori del castello di Norimberga, Gli) (1972)",Barão Sanguinário (1972)
6485,"Trip, The (1967)",Viagem ao Mundo da Alucinação (1967)
6486,Ken Park (2002),Ken Park (2002)
6487,Monterey Pop (1968),Monterey Pop (1968)
6488,"Bridge Too Far, A (1977)",Uma Ponte Longe Demais (1977)
6489,Infernal Affairs (Mou gaan dou) (2002),Conflitos Internos (2002)
6490,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",Medo (2003)
6491,Broadway Danny Rose (1984),Broadway Danny Rose (1984)
6492,From Beyond (1986),Possuídos Pelo Mal (1986)
6493,Robot Jox (1990),Jugger: Gladiadores do Futuro (1990)
6494,Dolls (1987),Bonecas Macabras (1987)
6495,Space Truckers (1996),Piratas do Espaço (1996)
6496,Rock 'N' Roll High School (1979),Rock 'N' Roll High School (1979)
6497,Death Race 2000 (1975),Corrida da Morte - Ano 2000 (1975)
6498,"Bucket Of Blood, A (1959)",Um Balde de Sangue (1959)
6499,Bedlam (1946),Asilo Sinistro (1946)
6500,Planet of the Vampires (Terrore nello spazio) (1965),O Planeta dos Vampiros (1965)
6501,Pure Country (1992),Coração de Caubói (1992)
6502,Brigadoon (1954),A Lenda dos Beijos Perdidos (1954)
6503,"Power of One, The (1992)",O Poder de um Jovem (1992)
6504,"Weather Underground, The (2002)",Tempo de Protesto (2002)
6505,Kikujiro (Kikujirô no natsu) (1999),Verão Feliz (1999)
6506,I'm with Lucy (2002),Os Encontros de Lucy (2002)
6507,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)","Primavera, Verão, Outono, Inverno... e Primavera (2003)"
6508,"Phantom Tollbooth, The (1970)",A Caixa Mágica (1970)
6509,"Getaway, The (1972)",Os Implacáveis: Fuga Perigosa (1972)
6510,10 Rillington Place (1971),O Estrangulador de Rillington Place (1971)
6511,Dark Water (Honogurai mizu no soko kara) (2002),Dark Water - Água Negra (2002)
6512,"Thing Called Love, The (1993)",As Armadilhas do Amor (1993)
6513,The Thief (1997),O Ladrão (1997)
6514,How to Steal a Million (1966),Como Roubar um Milhão de Dólares (1966)
6515,"Stendhal Syndrome, The (Sindrome di Stendhal, La) (1996)",Síndrome Mortal (1996)
6516,Support Your Local Sheriff! (1969),Uma Cidade Contra o Xerife (1969)
6517,Brain Donors (1992),Truques & Traques (1992)
6518,Mean Streets (1973),Caminhos Perigosos (1973)
6519,Jack the Bear (1993),Dias Amargos (1993)
6520,I Am a Fugitive from a Chain Gang (1932),O Fugitivo (1932)
6521,Hamburger Hill (1987),Hamburger Hill (1987)
6522,Harper (1966),O Caçador de Aventuras (1966)
6523,Sweet Bird of Youth (1962),Doce Pássaro da Juventude (1962)
6524,Dahmer (2002),Dahmer - Mente Assassina (2002)
6525,Paradise (1991),Paraíso (1991)
6526,Frankenstein Unbound (1990),"Frankenstein, o Monstro das Trevas (1990)"
6527,Shiri (Swiri) (1999),Shiri - Missão Terrorista (1999)
6528,Bad Day at Black Rock (1955),Conspiração do Silêncio (1955)
6529,In China They Eat Dogs (I Kina spiser de hunde) (1999),Na China Comem Cães (1999)
6530,Delta Force 2 (Delta Force 2: The Colombian Connection) (1990),Comando Delta 2: Conexão Colômbia (1990)
6531,Crossroads (1986),A Encruzilhada (1986)
6532,"Seducing Doctor Lewis (Grande séduction, La) (2003)",A Grande Sedução (2003)
6533,Sammy and Rosie Get Laid (1987),Sammy E Rosie (1987)
6534,Sunrise: A Song of Two Humans (1927),Aurora (1927)
6535,Shock Corridor (1963),Paixões que Alucinam (1963)
6536,"First $20 Million Is Always the Hardest, The (2002)",Os Primeiros 20 Milhões (2002)
6537,Au revoir les enfants (1987),"Adeus, Meninos (1987)"
6538,Sex: The Annabel Chong Story (1999),Sex: The Annabel Chong Story (1999)
6539,"Girl Next Door, The (1999)","Girl Next Door, The (1999)"
6540,Pursuit of Happiness (2001),Pursuit of Happiness (2001)
6541,Gladiator (1992),Gladiator: O Desafio (1992)
6542,"Inheritance, The (Arven) (2003)",Herança (2003)
6543,Wonderful Days (a.k.a. Sky Blue) (2003),Céu Azul (2003)
6544,Attack of the Giant Leeches (1959),O Ataque das Sanguessugas Gigantes (1959)
6545,The Cruel Sea (1953),Mar Cruel (1953)
6546,Dead or Alive: Hanzaisha (1999),Morrer ou viver (1999)
6547,Lola Montès (1955),Lola Montes (1955)
6548,Charly (1968),Os Dois Mundos de Charly (1968)
6549,Lust for Life (1956),Sede de Viver (1956)
6550,"Dolce Vita, La (1960)",A Doce Vida (1960)
6551,Jin Roh: The Wolf Brigade (Jin-Rô) (1998),Jin-Roh: A Brigada Lobo (1998)
6552,Rush (1991),Rush - Uma Viagem ao Inferno (1991)
6553,Captain Blood (1935),O Capitão Blood (1935)
6554,"Lift, De (1983)",O Elevador Assassino (1983)
6555,*batteries not included (1987),O Milagre Veio do Espaço (1987)
6556,Educating Rita (1983),O Despertar de Rita (1983)
6557,On Moonlight Bay (1951),Meus Braços Te Esperam (1951)
6558,Sansho the Bailiff (Sanshô dayû) (1954),O Intendente Sansho (1954)
6559,Zazie dans le métro (1960),Zazie no Metrô (1960)
6560,"Americanization of Emily, The (1964)",Não Podes Comprar Meu Amor (1964)
6561,Anne of the Thousand Days (1969),Ana dos Mil Dias (1969)
6562,Baby Doll (1956),Boneca de Carne (1956)
6563,"Avventura, L' (Adventure, The) (1960)",A Aventura (1960)
6564,Beyond the Valley of the Dolls (1970),De Volta ao Vale das Bonecas (1970)
6565,Hiroshima Mon Amour (1959),"Hiroshima, Meu Amor (1959)"
6566,"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",Os Mil Olhos do Dr. Mabuse (1960)
6567,Ugetsu (Ugetsu monogatari) (1953),Contos da Lua Vaga (1953)
6568,At Play in the Fields of the Lord (1991),Brincando nos Campos do Senhor (1991)
6569,Mystery of the Wax Museum (1933),Os Crimes do Museu (1933)
6570,"Day of the Jackal, The (1973)",O Dia do Chacal (1973)
6571,"Razor's Edge, The (1946)",O Fio da Navalha (1946)
6572,War of the Buttons (1994),A Guerra dos Botões (1994)
6573,"Other, The (1972)",A Inocente Face do Terror (1972)
6574,Night of the Living Dead (1990),A Noite dos Mortos-Vivos (1990)
6575,Drums Along the Mohawk (1939),Ao Rufar dos Tambores (1939)
6576,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",O Falcão Maltês (1931)
6577,I Love You Again (1940),Nem Só os Pombos Arrulham (1940)
6578,Safety Last! (1923),O Homem Mosca (1923)
6579,While the City Sleeps (1956),No Silêncio de uma Cidade (1956)
6580,Viridiana (1961),Viridiana (1961)
6581,Totally F***ed Up (1993),Totally F***ed Up (1993)
6582,Masterminds (1997),Marcação Cerrada (1997)
6583,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),Lupin III: O Castelo de Cagliostro (1979)
6584,Arizona Dream (1993),Arizona Dream: Um Sonho Americano (1993)
6585,Queen Christina (1933),Rainha Christina (1933)
6586,Battleground (1949),O Preço da Glória (1949)
6587,Citizen Toxie: The Toxic Avenger IV (2000),O Vingador Tóxico 4 (2000)
6588,Hooper (1978),"Hooper, o Homem das Mil Façanhas (1978)"
6589,"Crazy Stranger, The (Gadjo Dilo) (1997)",O Estrangeiro Louco (1997)
6590,3 Women (Three Women) (1977),Três Mulheres (1977)
6591,Take Me Out to the Ball Game (1949),A Bela Ditadora (1949)
6592,Grey Gardens (1975),Grey Gardens (1975)
6593,Frogs (1972),A Invasão das Rãs (1972)
6594,Purple Rain (1984),Purple Rain (1984)
6595,Point of No Return (1993),A assassina (1993)
6596,"Hairdresser's Husband, The (Le mari de la coiffeuse) (1990)",O Marido da Cabeleireira (1990)
6597,Cromwell (1970),"Cromwell, O Homem de Ferro (1970)"
6598,"Tale of Ham and Passion, A (Jamón, Jamón) (1992)","Jamón, Jamón (1992)"
6599,College (1927),Amores de um Estudante (1927)
6600,Mitchell (1975),Mitchell (1975)
6601,Agatha Christie's 'Ten Little Indians' (Ten Little Indians) (And Then There Were None) (1965),E Não Sobrou Nenhum (1965)
6602,Hakuchi (1951),O Idiota (1951)
6603,"Most Dangerous Game, The (1932)","Zaroff, o Caçador de Vidas (1932)"
6604,"Front Page, The (1931)",Última Hora (1931)
6605,Dolls (2002),Dolls (2002)
6606,Our Man in Havana (1959),O Nosso Homem em Havana (1959)
6607,"Man Who Came to Dinner, The (1942)",Santã Janta Conosco (1942)
6608,Sunday Bloody Sunday (1971),Domingo Maldito (1971)
6609,"Cowboys, The (1972)",Os Cowboys (1972)
6610,Make Way for Tomorrow (1937),A Cruz dos Anos (1937)
6611,"Major and the Minor, The (1942)",A Incrível Suzana (1942)
6612,"Caine Mutiny, The (1954)",A Nave da Revolta (1954)
6613,Black Narcissus (1947),Narciso Negro (1947)
6614,Escape from Alcatraz (1979),Alcatraz: Fuga Impossível (1979)
6615,Oliver Twist (1948),Oliver Twist (1948)
6616,Shrek 2 (2004),Shrek 2 (2004)
6617,"Day After Tomorrow, The (2004)",O Dia Depois de Amanhã (2004)
6618,Raising Helen (2004),Um Presente para Helen (2004)
6619,Soul Plane (2004),Uma Festa no Ar (2004)
6620,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),O Retorno de Sweetback (2003)
6621,"Mother, The (2003)",Recomeçar (2003)
6622,Saved! (2004),Galera do Mal (2004)
6623,"Time of the Wolf, The (Le temps du loup) (2003)",O Tempo do Lobo (2003)
6624,Harry Potter and the Prisoner of Azkaban (2004),Harry Potter e o Prisioneiro de Azkaban (2004)
6625,Mindhunters (2004),Caçadores de Mentes (2004)
6626,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",Zatoichi (2003)
6627,"Chronicles of Riddick, The (2004)",A Batalha de Riddick (2004)
6628,Garfield: The Movie (2004),Garfield: O Filme (2004)
6629,"Stepford Wives, The (2004)",Mulheres Perfeitas (2004)
6630,"Hunting of the President, The (2004)","Hunting of the President, The (2004)"
6631,Napoleon Dynamite (2004),Napoleon Dynamite (2004)
6632,City of Joy (1992),A Cidade Da Esperança (1992)
6633,"Doctor, The (1991)",Um Golpe do Destino (1991)
6634,"Dresser, The (1983)",O Fiel Camareiro (1983)
6635,Father Hood (1993),O Pai Fujão (1993)
6636,Hello Again (1987),Está Sobrando uma Mulher (1987)
6637,Hope Springs (2003),Hope Springs (2003)
6638,Lover Come Back (1961),"Volta, Meu Amor (1961)"
6639,Police Academy: Mission to Moscow (1994),Loucademia de Polícia 7: Missão Moscou (1994)
6640,Big Wednesday (1978),Amargo Reencontro (1978)
6641,"Last of Sheila, The (1973)",O Fim de Sheila (1973)
6642,Wish You Were Here (1987),Gostaria que Você Estivesse Aqui (1987)
6643,"Adventures of Sherlock Holmes, The (1939)",Sherlock Holmes (1939)
6644,"Hound of the Baskervilles, The (1939)",O Cão dos Baskervilles (1939)
6645,Hour of the Wolf (Vargtimmen) (1968),A Hora do Lobo (1968)
6646,"Molly Maguires, The (1970)",Ver-te-ei no Inferno (1970)
6647,Suddenly (1954),Meu Ofício É Matar (1954)
6648,Kings Row (1942),Em Cada Coração um Pecado (1942)
6649,"Kid Brother, The (1927)",O Caçula (1927)
6650,Meet the Applegates (1991),A Família Applegate (1991)
6651,Robot Carnival (Roboto kânibauru) (1987),Robot Carnival (Roboto kânibauru) (1987)
6652,Sands of Iwo Jima (1949),O Portal da Glória (1949)
6653,This Island Earth (1955),Guerra Entre Planetas (1955)
6654,Blackboard Jungle (1955),Sementes de Violência (1955)
6655,Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto) (1970),Investigação Sobre um Cidadão Acima de Qualquer Suspeita (1970)
6656,"Heiress, The (1949)",Tarde Demais (1949)
6657,State Fair (1945),Corações Enamorados (1945)
6658,Johnny Belinda (1948),Belinda (1948)
6659,Super Size Me (2004),Super Size Me - A Dieta do Palhaço (2004)
6660,"Jetée, La (1962)",La jetée (1962)
6661,Northwest Passage (1940),Bandeirantes do Norte (1940)
6662,"Picture of Dorian Gray, The (1945)",O Retrato de Dorian Gray (1945)
6663,"Human Condition I, The (Ningen no joken I) (1959)",Guerra e Humanidade (1959)
6664,Samsara (2001),Samsara (2001)
6665,Bachelor Mother (1939),Mãe por Acaso (1939)
6666,Please Don't Eat the Daisies (1960),Já Fomos tão Felizes (1960)
6667,White Heat (1949),Fúria Sanguinária (1949)
6668,"Christmas Carol, A (Scrooge) (1951)",Scrooge (1951)
6669,Memphis Belle (1990),Memphis Belle - A Fortaleza Voadora (1990)
6670,"Cincinnati Kid, The (1965)",A Mesa do Diabo (1965)
6671,Animal Factory (2000),Fábrica de animais (2000)
6672,"Panic in Needle Park, The (1971)",Os Viciados (1971)
6673,Pretty Baby (1978),Menina Bonita (1978)
6674,"Hitcher, The (1986)",A Morte Pede Carona (1986)
6675,Show Boat (1951),O Barco das Ilusões (1951)
6676,Ivanhoe (1952),"Ivanhoé, o Vingador do Rei (1952)"
6677,Box of Moon Light (1996),A Caixa do Luar (1996)
6678,"Eel, The (Unagi) (1997)",A Enguia (1997)
6679,Fear X (2003),Medo X (2003)
6680,Freaks (1932),Monstros (1932)
6681,"Immigrant, The (1917)",O Imigrante (1917)
6682,Silent Movie (1976),A Última Loucura de Mel Brooks (1976)
6683,"Matter of Life and Death, A (Stairway to Heaven) (1946)",Neste Mundo e no Outro (1946)
6684,Deep Cover (1992),Traindo o Inimigo (1992)
6685,Dr. Jekyll and Mr. Hyde (1931),O Médico e o Monstro (1931)
6686,My Little Chickadee (1940),Minha Dengosa (1940)
6687,"High and the Mighty, The (1954)",Um Fio de Esperança (1954)
6688,"Ugly Dachshund, The (1966)",Um Amor de Companheiro (1966)
6689,Around the World in 80 Days (2004),Volta ao Mundo em 80 Dias: Uma Aposta Muito Louca (2004)
6690,I'll Sleep When I'm Dead (2003),Vingança Final (2003)
6691,Dodgeball: A True Underdog Story (2004),Com a Bola Toda (2004)
6692,"Terminal, The (2004)",O Terminal (2004)
6693,Dear Frankie (2004),Querido Frankie (2004)
6694,White Chicks (2004),As Branquelas (2004)
6695,"Door in the Floor, The (2004)",Provocação (2004)
6696,"Notebook, The (2004)",Diário de uma Paixão (2004)
6697,Two Brothers (Deux frères) (2004),Era Uma Vez Dois Irmãos (2004)
6698,De-Lovely (2004),De-Lovely - Vida e Amores de Cole Porter (2004)
6699,Kaena: The Prophecy (Kaena: La prophétie) (2003),Axis (2003)
6700,Back to Bataan (1945),Espírito Indomável (1945)
6701,"Day at the Races, A (1937)",Um Dia nas Corridas (1937)
6702,"Flying Leathernecks, The (1951)",Horizonte de Glórias (1951)
6703,Bob & Carol & Ted & Alice (1969),"Bob, Carol, Ted E Alice (1969)"
6704,Reconstruction (2003),Reconstrução de um Amor (2003)
6705,"Claymation Christmas Celebration, A (1987)","Claymation Christmas Celebration, A (1987)"
6706,"Happenstance (Battement d'ailes du papillon, Le) (2001)","Happenstance (Battement d'ailes du papillon, Le) (2001)"
6707,Kopps (2003),Policiais Suecos (2003)
6708,Comandante (2003),Comandante (2003)
6709,Undead (2003),Canibais (2003)
6710,Into the Woods (1991),Into the Woods (1991)
6711,Pirates of Silicon Valley (1999),Piratas da Informática: Piratas do Vale do Silício (1999)
6712,Manufacturing Consent: Noam Chomsky and the Media (1992),Manufacturing Consent: Noam Chomsky and the Media (1992)
6713,"Clock, The (1945)",O Ponteiro da Saudade (1945)
6714,Leave Her to Heaven (1945),Amar foi Minha Ruína (1945)
6715,Rapa Nui (1994),Rapa Nui: Uma Aventura No Paraíso (1994)
6716,Mayor of the Sunset Strip (2003),Mayor of the Sunset Strip (2003)
6717,Winter War (Talvisota) (1989),Winter War (Talvisota) (1989)
6718,"Philadelphia Experiment, The (1984)",Um Passo para o Futuro (1984)
6719,Juice (1992),Uma Questão de Respeito (1992)
6720,"Flim-Flam Man, The (1967)",O Magnífico Farsante (1967)
6721,Revenge of the Pink Panther (1978),A Vingança da Pantera Cor-de-Rosa (1978)
6722,I Am Dina (2002),Instintos Diabólicos (2002)
6723,Angels with Dirty Faces (1938),Anjos de Cara Suja (1938)
6724,Zero de conduite (Zero for Conduct) (Zéro de conduite: Jeunes diables au collège) (1933),Zero em comportamento (1933)
6725,Shadows (1959),Sombras (1959)
6726,Taxi (1998),Táxi - Velocidade nas Ruas (1998)
6727,Taxi 3 (2003),Táxi 3 (2003)
6728,Tokyo Godfathers (2003),Padrinhos de Tóquio (2003)
6729,"Butcher, The (Boucher, Le) (1970)",O Açougueiro (1970)
6730,Our Hospitality (1923),Nossa Hospitalidade (1923)
6731,All of Me (1984),Um Espírito Baixou em Mim (1984)
6732,"Farmer's Daughter, The (1947)",Ambiciosa (1947)
6733,Lassie Come Home (1943),A Força do Coração (1943)
6734,Overboard (1987),Um Salto para a Felicidade (1987)
6735,"Mask of Fu Manchu, The (1932)",A Máscara de Fu Manchu (1932)
6736,By the Light of the Silvery Moon (1953),Lua Prateada (1953)
6737,Butterfield 8 (1960),Disque Butterfield 8 (1960)
6738,Johnny Guitar (1954),Johnny Guitar (1954)
6739,"Exterminating Angel, The (Ángel exterminador, El) (1962)",O Anjo Exterminador (1962)
6740,Fahrenheit 9/11 (2004),Fahrenheit 11 de Setembro (2004)
6741,Roxanne (1987),Roxanne (1987)
6742,Dr. Terror's House of Horrors (1965),As Profecias do Dr. Terror (1965)
6743,"Book of Life, The (1998)",O Livro da Vida (1998)
6744,Hard Times (1975),Lutador de Rua (1975)
6745,"Last Starfighter, The (1984)",O Último Guerreiro das Estrelas (1984)
6746,Tank (1984),Uma Família em Pé de Guerra (1984)
6747,Spider-Man 2 (2004),Homem-Aranha 2 (2004)
6748,Before Sunset (2004),Antes do Pôr do Sol (2004)
6749,"Clearing, The (2004)",Refém de uma Vida (2004)
6750,King Arthur (2004),Rei Arthur (2004)
6751,Anchorman: The Legend of Ron Burgundy (2004),O Âncora: A Lenda de Ron Burgundy (2004)
6752,Sleepover (2004),Dormindo Fora de Casa (2004)
6753,"Cinderella Story, A (2004)",A Nova Cinderela (2004)
6754,"I, Robot (2004)","Eu, Robô (2004)"
6755,"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Maria Cheia de Graça (2004)
6756,Long Day's Journey Into Night (1962),Longa Jornada Noite Adentro (1962)
6757,Man of La Mancha (1972),O Homem de la Mancha (1972)
6758,Rustlers' Rhapsody (1985),O Vaqueiro Cantador (1985)
6759,"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",Não Matarás (1988)
6760,"Tin Star, The (1957)",O Homem dos Olhos Frios (1957)
6761,Zandalee (1991),Zandalee: Uma Mulher para Dois (1991)
6762,How the West Was Won (1962),A Conquista do Oeste (1962)
6763,Joan of Arc (1948),Joana D'Arc (1948)
6764,Live Forever (2003),Live Forever (2003)
6765,"Bourne Supremacy, The (2004)",A Supremacia Bourne (2004)
6766,Catwoman (2004),Mulher-Gato (2004)
6767,A Home at the End of the World (2004),A Casa do Fim do Mundo (2004)
6768,Stay Hungry (1976),O Guarda-Costas (1976)
6769,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",O Testamento do Dr. Mabuse (1933)
6770,Disco Pigs (2001),Disco Pigs (2001)
6771,"Enemy Below, The (1957)",A Raposa do Mar (1957)
6772,Fist of the North Star (1995),O guerreiro da estrela polar (1995)
6773,Guns of the Magnificent Seven (1969),A Revolta dos Sete Homens (1969)
6774,In a Glass Cage (Tras el cristal) (1986),Prisão de Cristal (1986)
6775,Lancelot of the Lake (Lancelot du Lac) (1974),Lancelot do Lago (1974)
6776,"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)",Um Condenado à Morte Escapou (1956)
6777,"Shock to the System, A (1990)",Minhas Idéias Assassinas (1990)
6778,Slaughterhouse-Five (1972),Matadouro 5 (1972)
6779,"Bachelor and the Bobby-Soxer, The (1947)",O Solteirão Cobiçado (1947)
6780,"Comfort of Strangers, The (1990)",Uma Estranha Passagem em Veneza (1990)
6781,Destination Tokyo (1943),Rumo a Tóquio (1943)
6782,Dr. Jekyll and Ms. Hyde (1995),"O Médico, a Mulher e o Monstro (1995)"
6783,How I Got Into College (1989),Como Entrei para a Faculdade (1989)
6784,Map of the Human Heart (1993),O Mapa do Coração (1993)
6785,Mr. Blandings Builds His Dream House (1948),Lar... Meu Tormento (1948)
6786,My Favorite Wife (1940),Minha Esposa Favorita (1940)
6787,"New Adventures of Pippi Longstocking, The (1988)",As Novas Aventuras de Pippi Longstocking (1988)
6788,"Snake Pit, The (1948)",A Cova da Serpente (1948)
6789,"Super, The (1991)",O Dono do Pedaço (1991)
6790,Two of a Kind (1983),Embalos a Dois (1983)
6791,"Leopard, The (Gattopardo, Il) (1963)",O Leopardo (1963)
6792,"Goodbye, Columbus (1969)",Paixão de Primavera (1969)
6793,"President's Analyst, The (1967)",A Louca Missão do Dr. Schaefer (1967)
6794,"Day of the Locust, The (1975)",O Dia do Gafanhoto (1975)
6795,To End All Wars (2001),A Última das Guerras (2001)
6796,Moulin Rouge (1952),Moulin Rouge (1952)
6797,"Belly of an Architect, The (1987)",A Barriga do Arquiteto (1987)
6798,"Nest, The (Nid de Guêpes) (2002)",Ninho de Vespas (2002)
6799,"Woman Is a Woman, A (femme est une femme, Une) (1961)",Uma Mulher É Uma Mulher (1961)
6800,Mamma Roma (1962),Mamma Roma (1962)
6801,"Lower Depths, The (Donzoko) (1957)",Donzoko: Ralé (1957)
6802,King of the Ants (2003),Tratamento de Choque (2003)
6803,"Yesterday, Today and Tomorrow (Ieri, oggi, domani) (1963)","Ontem, Hoje e Amanhã (1963)"
6804,"Beautiful Troublemaker, The (La belle noiseuse) (1991)",A Bela Intrigante (1991)
6805,Gun Crazy (a.k.a. Deadly Is the Female) (1949),Mortalmente Perigosa (1949)
6806,"Set-Up, The (1949)",Punhos de Campeão (1949)
6807,Unprecedented: The 2000 Presidential Election (2002),Sem Precedentes: A Eleição Americana de 2000 (2002)
6808,"Prime of Miss Jean Brodie, The (1969)",A Primavera de uma Solteirona (1969)
6809,My Voyage to Italy (Il mio viaggio in Italia) (1999),Minha Viagem à Itália (1999)
6810,"Three Lives of Thomasina, The (1964)",Um Grande Amor Nunca Morre (1964)
6811,This Gun for Hire (1942),Alma Torturada (1942)
6812,"Big Clock, The (1948)",O Relógio Verde (1948)
6813,Criss Cross (1949),Baixeza (1949)
6814,"Spy Who Came in from the Cold, The (1965)",O Espião que Saiu do Frio (1965)
6815,Sherlock Holmes and the Secret Weapon (1942),Sherlock Holmes e a Arma Secreta (1942)
6816,Sherlock Holmes: The Woman in Green (1945),Sherlock Holmes e a Mulher de Verde (1945)
6817,Sherlock Holmes: Dressed to Kill (1946),Melodia Fatal (1946)
6818,Bon Voyage (2003),Viagem do Coração (2003)
6819,"Assassination Bureau, The (1969)",Sindicato do Crime (1969)
6820,"Manchurian Candidate, The (2004)",Sob o Domínio do Mal (2004)
6821,Thunderbirds (2004),Os Thunderbirds (2004)
6822,"Village, The (2004)",A Vila (2004)
6823,Garden State (2004),Hora de Voltar (2004)
6824,Early Summer (Bakushû) (1951),Também Fomos Felizes (1951)
6825,Port of Shadows (Quai des brumes) (1938),Cais das Sombras (1938)
6826,Thunderbirds Are GO (1966),Thunderbirds Are GO (1966)
6827,PTU (2003),PTU (2003)
6828,Musa the Warrior (Musa) (2001),Musa the Warrior (Musa) (2001)
6829,"Funny Thing Happened on the Way to the Forum, A (1966)",Um Escravo das Arábias em Roma (1966)
6830,Salesman (1969),Caixeiro-Viajante (1969)
6831,Collateral (2004),Colateral (2004)
6832,Little Black Book (2004),A Agenda Secreta do Meu Namorado (2004)
6833,Code 46 (2003),Código 46 (2003)
6834,In the Soup (1992),In the Soup (1992)
6835,Attack the Gas Station! (Juyuso seubgyuksageun) (1999),Juyuso seubgyuksageun (1999)
6836,Harold and Kumar Go to White Castle (2004),Madrugada Muito Louca (2004)
6837,"Princess Diaries 2: Royal Engagement, The (2004)",O Diário da Princesa 2: Casamento Real (2004)
6838,Danny Deckchair (2003),Danny Deckchair (2003)
6839,AVP: Alien vs. Predator (2004),Alien vs. Predador (2004)
6840,Yu-Gi-Oh! (2004),Yu-Gi-Oh! O filme (2004)
6841,We Don't Live Here Anymore (2004),Tentação (2004)
6842,Without a Paddle (2004),Totalmente Sem Rumo (2004)
6843,Exorcist: The Beginning (2004),Exorcista: O Início (2004)
